OBJECTID,NAME,PMA,PARKSBND_AREA,GLOBALID,SHAPE_Length,SHAPE_Area
439,THAYER PLACE,4014,3341.943213,{6274D119-5F76-49A8-A7DE-F3CA260D551C},239.693083647269,3341.92984563324
440,THOMAS C. WALES PARK,1106,58775.547668,{72748509-25E3-4D5E-AED2-2E7CC563709D},994.833454636161,58775.3125664647
441,THOMAS STREET GARDENS,4104,5264.610665,{2D8FDE01-6A94-4BBF-BB67-BADD7AC73732},311.128173972904,5264.58960632858
442,THOMAS STREET MINI PARK,386,10783.018236,{DD4B30AD-EC56-4592-BDAC-C6EDB236E06B},419.505030196534,10782.9751041872
443,THORNDYKE PARK,343,59728.752937,{9A17183F-1F79-4B6C-BF05-0BBC1E5AD1CD},1728.46216657897,59728.5140233023
444,THORNTON CREEK ADDITION: NORTH BRANCH,4649,39192.967271,{2D847AB4-AB6A-48C2-B455-E52C6E89D429},857.868053687395,39192.8104983162
445,THORNTON CREEK NATURAL AREA: 25TH/95TH,416,94699.235542,{0E0E2B2B-57CB-4F03-8D0E-D64048FE7E8B},2607.01280411412,94698.8567437636
446,THYME PATCH PARK,4405,4857.235799,{B54D60AF-ECDF-4C1F-93BA-C4597993DAA1},294.148374651864,4857.21636979484
447,TILIKUM PLACE,3909,1755.519533,{10FF4433-D246-448B-8239-A17B3CDEC8D5},148.538731099005,1755.51251076726
448,TROLL'S KNOLL PARK,4599,24598.581353,{94463A26-E1A9-4644-9D89-CDF0F554CB3D},770.789749746198,24598.4829593142
449,TROLLEY HILL PARK,4421,37717.080331,{9EB8E7F8-E1BC-47F9-BBBD-709E5AC75CD3},797.393373228599,37716.9294621935
450,TRUDYS TRIANGLE,4041,10996.450047,{EC3CB83A-800E-4D82-A98D-595EB8C92268},442.313146158398,10996.4060616781
451,TWELFTH AVENUE SOUTH VIEWPOINT,4159,46472.988503,{48FD3AFB-9748-4CA6-AE57-9E66903D2762},1254.46702697287,46472.802610921
452,UNION BAY BOGLANDS #1,4431,51161.002053,{E706A560-B27F-4461-9092-6DE25D5C05BE},1192.55131926105,51160.7974090083
453,UNION BAY BOGLANDS #2,3751,8114.07206,{334F4B03-FB4A-4902-812E-11C39E16E01F},395.475234842877,8114.03960356819
454,UNION STATION SQUARE,4007,1528.143138,{5413389E-AFEC-4BE2-9F7C-6B3EEF928F4F},206.91606652537,1528.13702522743
455,UNIVERSITY CIRCLE,424,8171.123109,{3BB78B14-E6EE-4191-A584-F036B91DF884},320.953266187075,8171.0904241349
456,UNIVERSITY HEIGHTS,4471,14682.564825,{0085ABDC-F50C-40CC-9FBA-DA770D426899},495.530879769909,14682.5060953258
457,UNIVERSITY LAKE SHORE PLACE,3998,6619.171473,{0AEEC61F-3580-4262-8A83-3CBFF48650E3},365.516536350242,6619.14499623569
458,UNIVERSITY PLAYGROUND,435,119713.00246,{C8EF367D-ACB3-427D-85EF-47F2BD44480E},1429.43487780537,119712.523609591
459,URBAN TRIANGLE PARK,4384,9148.195743,{098E8968-B05E-462D-B988-FAADDAB4B3BD},455.625247676001,9148.15915078823
460,VAN ASSELT PLAYGROUND,431,393233.078254,{8063FDA7-4C85-4170-A6D3-23D114E51C08},3107.19857300813,393231.505323597
